Job ID,Job Title,Industry,Required Education,Required Degree Field,Years of Experience,Hard Skills,Soft Skills
1,Software Engineer,Technology,Bachelor,Computing,2,"[""Python"", ""Java"", ""C++"", ""Git"", ""Version Control"", ""Algorithms"", ""Data Structures"",""System Design"", ""Unit Testing"", ""CI/CD"", ""Agile"", ""REST APIs"", ""OOP""]","['Problem-Solving', 'Teamwork']"
2,Frontend Developer,Technology,Bachelor,Computing,1,"[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""TypeScript"", ""Responsive Design"", ""Figma"",""UI/UX"", ""Web Performance Optimization"", ""Redux""]","['Creativity', 'Attention to Detail']"
3,Backend Developer,Technology,Bachelor,Computing,2,"[""Java"", ""Python"", ""Node.js"", ""Spring Boot"", ""REST APIs"", ""Databases"", ""SQL"",""Authentication"", ""Microservices"", ""Docker"", ""CI/CD""]","['Logical Thinking', 'Collaboration']"
4,Full Stack Developer,Technology,Bachelor,Computing,3,"[""JavaScript"", ""React"", ""Node.js"", ""MongoDB"", ""Express.js"", ""HTML"", ""CSS"",""REST APIs"", ""CI/CD"", ""Git"", ""Agile""]","['Adaptability', 'Communication']"
5,DevOps Engineer,Technology,Bachelor,Computing,3,"[""Docker"", ""Kubernetes"", ""CI/CD"", ""AWS"", ""Terraform"", ""Jenkins"", ""Monitoring Tools"",""Bash Scripting"", ""Linux"", ""Infrastructure as Code""]","['Problem-Solving', 'Teamwork']"
6,Machine Learning Engineer,Technology,Master,Computing,2,"['Python', 'TensorFlow', 'Data Modeling', 'PyTorch', 'Keras', 'Scikit-learn', 'Pandas', 'NumPy', 'SQL', 'Cloud Platforms (AWS, Azure, GCP)', 'MLOps tools (Kubeflow, MLflow)', 'Distributed computing (Spark, Hadoop)', 'Algorithm optimization', 'A/B testing frameworks', 'Docker', 'Kubernetes']","['Analytical Thinking', 'Creativity']"
7,Data Scientist,Technology,Master,Computing,2,"['Python', 'Machine Learning', 'Data Visualization', 'R', 'SQL', 'Tableau/Power BI', 'Apache Spark', 'Hadoop', 'A/B Testing', 'Statistical modeling', 'Predictive analytics', 'Natural Language Processing (NLP)', 'Computer Vision', 'Big Data technologies', 'ETL processes', 'Git']","['Critical Thinking', 'Communication']"
8,Data Analyst,Technology,Bachelor,Computing,1,"['SQL', 'Excel', 'Tableau', 'Python (Pandas, NumPy, Matplotlib, Seaborn)', 'R', 'Power BI', 'Google Analytics', 'A/B Testing', 'Data cleaning and transformation', 'Statistical analysis', 'Database management', 'ETL processes', 'Version control (Git)']","['Attention to Detail', 'Problem-Solving']"
9,Data Engineer,Technology,Bachelor,Computing,2,"['SQL', 'ETL', 'BigData', 'Python/Java/Scala', 'Apache Spark', 'Hadoop', 'Kafka', 'Airflow', 'Data Warehousing (Snowflake, Redshift, BigQuery)', 'Cloud Platforms (AWS, Azure, GCP)', 'NoSQL databases (MongoDB, Cassandra)', 'Data governance', 'Data pipelines', 'Data modeling']","['Collaboration', 'Logical Thinking']"
10,Cloud Architect,Technology,Master,Computing,4,"['AWS', 'Azure', 'Cloud Security', 'GCP', 'Kubernetes', 'Docker', 'Infrastructure as Code (Terraform, CloudFormation, ARM templates)', 'Networking (VPC, VPN, Load Balancing)', 'Serverless computing (Lambda, Azure Functions)', 'Database solutions (Relational and NoSQL in cloud)', 'Disaster Recovery', 'Microservices architecture']","['Strategic Thinking', 'Leadership']"
11,Cybersecurity Analyst,Technology,Bachelor,Computing,2,"['Network Security', 'Ethical Hacking', 'SIEM', 'Incident Response', 'Vulnerability Assessment and Penetration Testing (VAPT)', 'Digital Forensics', 'Malware Analysis', 'Cryptography', 'Firewall configuration', 'Intrusion Detection/Prevention Systems (IDS/IPS)', 'Security Information and Event Management (Splunk, ArcSight)', 'Cloud Security tools', 'Compliance frameworks (NIST, ISO 27001)', 'Scripting (Python, PowerShell)']","['Attention to Detail', 'Problem-Solving']"
12,AI Researcher,Science and Research,Master,Computing,3,"['Python', 'Deep Learning', 'Natural Language Processing', 'PyTorch', 'TensorFlow', 'Keras', 'Reinforcement Learning', 'Computer Vision', 'Speech Recognition', 'Generative Models', 'Statistical modeling', 'Mathematical optimization', 'Research methodologies', 'C++/Java (for performance-critical implementations)']","['Innovation', 'Critical Thinking']"
13,Blockchain Developer,Emerging Technologies,Bachelor,Computing,2,"['Solidity', 'Smart Contracts', 'Ethereum', 'Web3.js', 'Ethers.js', 'Truffle', 'Hardhat', 'IPFS', 'Dapp development', 'Cryptography', 'Decentralized finance (DeFi) protocols', 'Node.js', 'Go/Rust (for some blockchain platforms)', 'Consensus mechanisms', 'Security auditing of smart contracts']","['Problem-Solving', 'Collaboration']"
14,Web Developer,Technology,Bachelor,Computing,1,"['HTML/CSS', 'JavaScript', 'PHP', 'React/Angular/Vue.js (for frontend)', 'Node.js/Python (Django/Flask)/Ruby on Rails (for backend)', 'RESTful APIs', 'Database management (SQL/NoSQL)', 'Version control (Git)', 'Responsive Design', 'Webpack/Babel', 'Testing frameworks (Jest, React Testing Library)', 'Cloud deployment (Netlify, Vercel, Heroku)']","['Creativity', 'Adaptability']"
15,Game Developer,Arts and Media,Bachelor,Computing,2,"['Unity', 'C#', '3D Modeling', 'Unreal Engine (C++)', 'Game Physics', 'AI for games', 'Shaders', 'Animation', 'Level Design', 'Version Control (Perforce, Git)', 'Networking for multiplayer games', 'Optimization techniques', 'Asset pipeline management', 'Mobile game development']","['Creativity', 'Teamwork']"
16,UX Designer,Technology,Bachelor,Design,2,"['Figma', 'User Research', 'Wireframing', 'Sketch', 'Adobe XD', 'InVision', 'Prototyping tools', 'Usability Testing', 'Information Architecture', 'Interaction Design', 'A/B testing', 'Heatmap analysis', 'Accessibility standards (WCAG)', 'Design Systems']","['Empathy', 'Communication']"
17,UI Designer,Technology,Bachelor,Design,1,"['Adobe XD', 'Typography', 'Color Theory', 'Figma', 'Sketch', 'Photoshop', 'Illustrator', 'Zeplin', 'InVision', 'Prototyping', 'Iconography', 'Layout principles', 'Responsive design', 'Micro-interactions', 'Design systems', 'Front-end development understanding (HTML/CSS)']","['Creativity', 'Attention to Detail']"
18,Product Manager (Tech),Technology,Master,Business,4,"['Agile methodology', 'Product Roadmapping', 'Market Research', 'SQL (for data analysis)', 'A/B Testing', 'User Story mapping', 'JIRA/Asana/Trello', 'Wireframing tools (e.g., Balsamiq)', 'Google Analytics/Amplitude (product analytics)', 'Financial modeling', 'Technical understanding of software development lifecycle', 'Scrum/Kanban']","['Leadership', 'Communication']"
19,Mobile App Developer,Technology,Bachelor,Computing,2,"['Swift', 'Kotlin', 'React Native', 'Objective-C', 'Java', 'Flutter', 'Xcode', 'Android Studio', 'RESTful APIs', 'Firebase', 'Push Notifications', 'Offline storage', 'UI/UX principles for mobile', 'Performance optimization', 'App store deployment']","['Problem-Solving', 'Adaptability']"
20,Embedded Systems Engineer,Technology,Bachelor,Engineering,3,"['C/C++', 'Microcontrollers', 'RTOS', 'Assembly language', 'Digital Signal Processing (DSP)', 'FPGA/VHDL/Verilog', 'PCB Design (Altium, Eagle)', 'Communication protocols (SPI, I2C, UART, Ethernet, CAN)', 'Sensor integration', 'Device drivers', 'Debugging tools (oscilloscopes, logic analyzers)', 'Firmware development']","['Attention to Detail', 'Analytical Thinking']"
21,Financial Analyst,Finance,Bachelor,Business,2,"['Excel', 'Financial Modeling', 'Data Analysis', 'VBA (for Excel automation)', 'Bloomberg Terminal', 'Reuters Eikon', 'SQL', 'PowerPoint', 'Financial reporting standards (IFRS, GAAP)', 'Valuation techniques', 'Statistical software (R, Python with financial libraries)', 'Business Intelligence tools (Tableau, Power BI)']","['Analytical Thinking', 'Communication']"
22,Investment Banker,Finance,Master,Business,3,"['Financial Modeling', 'Valuation', 'M&A', 'DCF (Discounted Cash Flow) analysis', 'Comparable Company Analysis (CCA)', 'Precedent Transaction Analysis (PTA)', 'LBO (Leveraged Buyout) modeling', 'Pitchbook creation', 'Capital Markets knowledge (Equity/Debt)', 'Advanced Excel functions', 'Bloomberg Terminal', 'Legal documentation review']","['Negotiation', 'Attention to Detail']"
23,Management Consultant,Finance,Master,Business,3,"['Strategic Planning', 'Market Analysis', 'Project Management', 'Data Analysis (Excel, potentially SQL/Python for larger datasets)', 'Presentation software (PowerPoint, Keynote)', 'Financial analysis', 'Process mapping', 'Change Management frameworks', 'Business Case Development', 'Risk Assessment', 'Industry-specific knowledge']","['Problem-Solving', 'Communication']"
24,Auditor,Finance,Bachelor,Business,2,"['Accounting', 'Risk Assessment', 'Audit Software', 'GAAP/IFRS', 'Sarbanes-Oxley (SOX) compliance', 'Data Analytics tools (ACL, IDEA)', 'ERP systems (SAP, Oracle)', 'Internal controls', 'Forensic accounting', 'IT audit principles', 'Data extraction and manipulation']","['Attention to Detail', 'Integrity']"
25,Accountant,Finance,Bachelor,Business,1,"['Bookkeeping', 'Tax Preparation', 'Financial Reporting', 'QuickBooks', 'SAP', 'Oracle Financials', 'GAAP/IFRS', 'Payroll processing', 'Budgeting', 'Forensic accounting', 'Microsoft Office Suite (Word, Outlook)', 'Data entry accuracy', 'Account reconciliation']","['Accuracy', 'Organization']"
